Name,Crime_Type,Location,Co-ordinates,Date,Time,photo_loc,fir
Eyebase/Hyderābād_2023_08_26+15_13_23_908626.webm,RoadAccidents,Hyderābād,"17.3840,78.4564",2023_08_26,15_13_23_908626,['./0_up.jpg'],TS29
Eyebase/Hyderābād_2023_08_26+15_14_16_379033.webm,Arson,Hyderābād,"17.3840,78.4564",2023_08_26,15_14_16_379033,['./0_up.jpg'],TS30
Eyebase/Hyderābād_2023_08_26+15_37_15_956916.webm,Fighting,Hyderābād,"17.3840,78.4564",2023_08_26,15_37_15_956916,['./0_up.jpg'],TS31
Eyebase/Hyderābād_2023_08_26+15_37_54_250782.webm,Fighting,Hyderābād,"17.3840,78.4564",2023_08_26,15_37_54_250782,['./face_dataset/Hyderābād_2023_08_26+15_37_54_250782.webm0.jpg'],TS32
